index path label eval x_1 y_1 x_2 y_2
139 E:\ODProject\ODProject\Screenshots\screenshot_720x480_139.png truck train 213.946 152.7264 496.624 324.6857
140 E:\ODProject\ODProject\Screenshots\screenshot_720x480_140.png truck train 201.5366 96.85529 509.0739 390.3508
141 E:\ODProject\ODProject\Screenshots\screenshot_720x480_141.png truck train 223.6166 102.1961 489.6631 321.537
142 E:\ODProject\ODProject\Screenshots\screenshot_720x480_142.png truck train 240.6341 86.41794 502.7911 310.9731
143 E:\ODProject\ODProject\Screenshots\screenshot_720x480_143.png truck train 240.6341 86.41794 502.7911 310.9731
144 E:\ODProject\ODProject\Screenshots\screenshot_720x480_144.png truck train 213.4041 86.76016 485.9407 308.9155
145 E:\ODProject\ODProject\Screenshots\screenshot_720x480_145.png truck train 200.7989 122.4763 508.7603 381.6915
146 E:\ODProject\ODProject\Screenshots\screenshot_720x480_146.png truck train 237.2599 148.2043 499.9965 302.546
147 E:\ODProject\ODProject\Screenshots\screenshot_720x480_147.png truck train 208.0199 87.27075 501.8653 289.5612
148 E:\ODProject\ODProject\Screenshots\screenshot_720x480_148.png truck train 231.1289 114.3223 512.8434 353.0499
149 E:\ODProject\ODProject\Screenshots\screenshot_720x480_149.png truck train 227.4034 118.1141 520.6961 368.0749
150 E:\ODProject\ODProject\Screenshots\screenshot_720x480_150.png truck train 239.8004 77.98776 469.8165 377.3682
151 E:\ODProject\ODProject\Screenshots\screenshot_720x480_151.png truck train 205.8866 98.4212 508.2914 379.9106
152 E:\ODProject\ODProject\Screenshots\screenshot_720x480_152.png truck train 254.226 133.783 541.6382 333.1577
153 E:\ODProject\ODProject\Screenshots\screenshot_720x480_153.png truck train 297.6088 65.81332 494.2011 359.6311
154 E:\ODProject\ODProject\Screenshots\screenshot_720x480_154.png truck train 252.0007 120.3764 504.2791 338.4139
155 E:\ODProject\ODProject\Screenshots\screenshot_720x480_155.png truck train 270.2099 81.30765 458.8353 330.5471
156 E:\ODProject\ODProject\Screenshots\screenshot_720x480_156.png truck train 258.1411 82.43594 549.8402 389.7791
157 E:\ODProject\ODProject\Screenshots\screenshot_720x480_157.png truck train 224.9877 57.31235 492.5871 334.5153
158 E:\ODProject\ODProject\Screenshots\screenshot_720x480_158.png truck train 266.7431 69.8566 527.8958 351.7331
159 E:\ODProject\ODProject\Screenshots\screenshot_720x480_159.png truck train 222.2622 63.32645 502.5238 369.4085
160 E:\ODProject\ODProject\Screenshots\screenshot_720x480_160.png truck train 261.6451 132.6407 539.3802 364.9153
161 E:\ODProject\ODProject\Screenshots\screenshot_720x480_161.png truck train 208.436 65.14691 494.9004 363.236
162 E:\ODProject\ODProject\Screenshots\screenshot_720x480_162.png truck train 270.2098 111.0739 540.8931 332.2895
163 E:\ODProject\ODProject\Screenshots\screenshot_720x480_163.png truck train 211.8637 127.8541 492.7567 330.6227
164 E:\ODProject\ODProject\Screenshots\screenshot_720x480_164.png truck train 260.14 86.88129 541.4293 387.1681
165 E:\ODProject\ODProject\Screenshots\screenshot_720x480_165.png truck train 246.3103 88.15732 510.7394 361.5334
166 E:\ODProject\ODProject\Screenshots\screenshot_720x480_166.png truck train 239.0975 81.23395 480.0547 383.0747
167 E:\ODProject\ODProject\Screenshots\screenshot_720x480_167.png truck train 239.3545 90.20758 531.9913 392.0893
168 E:\ODProject\ODProject\Screenshots\screenshot_720x480_168.png truck train 277.3734 90.22928 487.1523 370.3604
169 E:\ODProject\ODProject\Screenshots\screenshot_720x480_169.png truck train 205.9109 65.09583 501.8898 357.2929
170 E:\ODProject\ODProject\Screenshots\screenshot_720x480_170.png truck train 257.1992 83.07874 479.1882 351.4897
171 E:\ODProject\ODProject\Screenshots\screenshot_720x480_171.png truck train 222.968 83.28799 510.6323 331.2033
172 E:\ODProject\ODProject\Screenshots\screenshot_720x480_172.png truck train 203.1138 85.26324 469.9113 371.5573
173 E:\ODProject\ODProject\Screenshots\screenshot_720x480_173.png truck train 260.038 48.34808 542.9 355.8636
174 E:\ODProject\ODProject\Screenshots\screenshot_720x480_174.png truck train 228.8527 52.84024 542.0663 358.5214
175 E:\ODProject\ODProject\Screenshots\screenshot_720x480_175.png truck train 224.1425 53.77579 501.5576 347.8384
176 E:\ODProject\ODProject\Screenshots\screenshot_720x480_176.png truck train 240.9558 49.84262 504.0132 322.1956
177 E:\ODProject\ODProject\Screenshots\screenshot_720x480_177.png truck train 267.7607 72.33685 493.325 362.1821
178 E:\ODProject\ODProject\Screenshots\screenshot_720x480_178.png truck train 275.5214 108.0023 520.9276 377.0589
179 E:\ODProject\ODProject\Screenshots\screenshot_720x480_179.png truck train 237.8945 74.54263 498.9515 361.4128
180 E:\ODProject\ODProject\Screenshots\screenshot_720x480_180.png truck train 273.263 95.22931 505.8357 350.4541
181 E:\ODProject\ODProject\Screenshots\screenshot_720x480_181.png truck train 238.5297 110.4742 513.0042 357.7937
182 E:\ODProject\ODProject\Screenshots\screenshot_720x480_182.png truck train 238.2904 90.52695 518.4024 392.8175
183 E:\ODProject\ODProject\Screenshots\screenshot_720x480_183.png truck train 201.0013 91.25729 494.8797 401.4879
184 E:\ODProject\ODProject\Screenshots\screenshot_720x480_184.png truck train 202.2352 98.9595 514.3503 385.4834
185 E:\ODProject\ODProject\Screenshots\screenshot_720x480_185.png truck train 235.3796 136.0254 507.9574 305.6506
186 E:\ODProject\ODProject\Screenshots\screenshot_720x480_186.png truck train 217.1498 99.03647 500.8508 361.3495
187 E:\ODProject\ODProject\Screenshots\screenshot_720x480_187.png truck train 235.7697 98.31442 521.6493 349.1064
188 E:\ODProject\ODProject\Screenshots\screenshot_720x480_188.png truck train 218.2732 78.37189 502.3834 311.3931
189 E:\ODProject\ODProject\Screenshots\screenshot_720x480_189.png truck train 276.5281 75.86044 471.7341 358.7821
190 E:\ODProject\ODProject\Screenshots\screenshot_720x480_190.png truck train 285.1117 93.79523 514.0745 382.1351
191 E:\ODProject\ODProject\Screenshots\screenshot_720x480_191.png truck train 244.1261 89.78479 477.3679 374.056
192 E:\ODProject\ODProject\Screenshots\screenshot_720x480_192.png truck train 249.3267 98.17474 507.9616 362.9667
193 E:\ODProject\ODProject\Screenshots\screenshot_720x480_193.png truck train 280.5216 75.1937 475.6316 364.0375
194 E:\ODProject\ODProject\Screenshots\screenshot_720x480_194.png truck train 272.4351 153.1436 488.6541 394.845
195 E:\ODProject\ODProject\Screenshots\screenshot_720x480_195.png truck train 274.8819 53.96643 473.7763 302.4642
196 E:\ODProject\ODProject\Screenshots\screenshot_720x480_196.png truck train 285.9232 94.25388 515.5538 378.8399
197 E:\ODProject\ODProject\Screenshots\screenshot_720x480_197.png truck train 273.1528 79.27328 466.0199 360.5866
198 E:\ODProject\ODProject\Screenshots\screenshot_720x480_198.png truck train 286.215 88.17004 486.0786 385.858
199 E:\ODProject\ODProject\Screenshots\screenshot_720x480_199.png truck train 293.4516 83.22064 452.3442 343.9944
200 E:\ODProject\ODProject\Screenshots\screenshot_720x480_200.png truck train 198.4892 53.79181 468.4018 361.8945
201 E:\ODProject\ODProject\Screenshots\screenshot_720x480_201.png truck train 240.8457 117.01 498.5274 393.9816
202 E:\ODProject\ODProject\Screenshots\screenshot_720x480_202.png truck train 204.9853 127.3454 478.0184 367.9741
203 E:\ODProject\ODProject\Screenshots\screenshot_720x480_203.png truck train 231.1918 88.10349 514.777 343.5569
204 E:\ODProject\ODProject\Screenshots\screenshot_720x480_204.png truck train 227.4877 71.59082 487.3794 336.6308
205 E:\ODProject\ODProject\Screenshots\screenshot_720x480_205.png truck train 206.423 87.88272 469.0814 393.5536
206 E:\ODProject\ODProject\Screenshots\screenshot_720x480_206.png truck train 282.7999 104.4482 507.2461 382.5343
207 E:\ODProject\ODProject\Screenshots\screenshot_720x480_207.png truck train 260.7101 90.67834 500.2908 349.0969
208 E:\ODProject\ODProject\Screenshots\screenshot_720x480_208.png truck train 242.3574 98.31973 513.5172 361.2402
209 E:\ODProject\ODProject\Screenshots\screenshot_720x480_209.png truck train 252.6013 95.6944 533.8032 322.5508
210 E:\ODProject\ODProject\Screenshots\screenshot_720x480_210.png truck train 229.7572 132.2354 516.5288 376.3949
211 E:\ODProject\ODProject\Screenshots\screenshot_720x480_211.png truck train 235.4012 69.11865 514.7354 321.101
212 E:\ODProject\ODProject\Screenshots\screenshot_720x480_212.png truck train 247.2422 139.5875 504.3399 364.1016
213 E:\ODProject\ODProject\Screenshots\screenshot_720x480_213.png truck train 239.3203 119.4578 538.2178 367.4433
214 E:\ODProject\ODProject\Screenshots\screenshot_720x480_214.png truck train 229.6532 60.47183 541.2557 340.0429
215 E:\ODProject\ODProject\Screenshots\screenshot_720x480_215.png truck train 229.6532 60.47183 541.2557 340.0429
216 E:\ODProject\ODProject\Screenshots\screenshot_720x480_216.png truck train 242.8128 132.3649 542.8228 356.3547
217 E:\ODProject\ODProject\Screenshots\screenshot_720x480_217.png truck train 230.4511 115.6669 525.9545 377.2267
218 E:\ODProject\ODProject\Screenshots\screenshot_720x480_218.png truck train 233.4296 82.68329 533.3705 351.1573
219 E:\ODProject\ODProject\Screenshots\screenshot_720x480_219.png truck train 235.7006 107.312 538.464 379.1864
220 E:\ODProject\ODProject\Screenshots\screenshot_720x480_220.png truck train 240.1328 100.9364 516.0676 358.7604
221 E:\ODProject\ODProject\Screenshots\screenshot_720x480_221.png truck train 277.671 66.07562 524.1053 339.2211
222 E:\ODProject\ODProject\Screenshots\screenshot_720x480_222.png truck train 269.3473 88.27631 501.1275 364.8712
223 E:\ODProject\ODProject\Screenshots\screenshot_720x480_223.png truck train 240.8596 55.62473 469.9242 368.2209
224 E:\ODProject\ODProject\Screenshots\screenshot_720x480_224.png truck train 207.5466 88.06949 500.0965 396.7192
225 E:\ODProject\ODProject\Screenshots\screenshot_720x480_225.png truck train 251.0173 143.2198 526.787 356.4542
226 E:\ODProject\ODProject\Screenshots\screenshot_720x480_226.png truck train 236.0582 120.7063 515.1556 329.862
227 E:\ODProject\ODProject\Screenshots\screenshot_720x480_227.png truck train 269.998 100.6525 544.9157 316.8691
228 E:\ODProject\ODProject\Screenshots\screenshot_720x480_228.png truck train 241.2862 95.96512 504.6303 324.1137
229 E:\ODProject\ODProject\Screenshots\screenshot_720x480_229.png truck train 275.6965 102.3568 471.0407 371.1418
230 E:\ODProject\ODProject\Screenshots\screenshot_720x480_230.png truck train 264.7405 97.98846 478.8321 393.629
231 E:\ODProject\ODProject\Screenshots\screenshot_720x480_231.png truck train 277.317 90.6861 499.7459 354.4293
232 E:\ODProject\ODProject\Screenshots\screenshot_720x480_232.png truck train 253.9374 50.33832 486.8933 361.1344
233 E:\ODProject\ODProject\Screenshots\screenshot_720x480_233.png truck train 276.943 113.7636 509.2042 392.5556
234 E:\ODProject\ODProject\Screenshots\screenshot_720x480_234.png truck train 229.4247 76.37662 480.6773 347.2473
235 E:\ODProject\ODProject\Screenshots\screenshot_720x480_235.png truck train 243.4802 96.52524 494.6849 370.2772
236 E:\ODProject\ODProject\Screenshots\screenshot_720x480_236.png truck train 228.2283 58.48376 499.435 346.6533
237 E:\ODProject\ODProject\Screenshots\screenshot_720x480_237.png truck train 235.8807 91.46548 473.051 358.2548
238 E:\ODProject\ODProject\Screenshots\screenshot_720x480_238.png truck train 283.7452 80.48907 502.6637 368.1356
239 E:\ODProject\ODProject\Screenshots\screenshot_720x480_239.png truck train 285.907 90.95483 425.0311 348.5639
240 E:\ODProject\ODProject\Screenshots\screenshot_720x480_240.png truck train 202.5457 45.9852 512.954 365.8051
241 E:\ODProject\ODProject\Screenshots\screenshot_720x480_241.png truck train 236.0212 165.1091 514.9044 363.5243
242 E:\ODProject\ODProject\Screenshots\screenshot_720x480_242.png truck train 216.0513 112.8135 498.5309 343.4669
243 E:\ODProject\ODProject\Screenshots\screenshot_720x480_243.png truck train 229.0278 61.69864 533.8837 330.7699
244 E:\ODProject\ODProject\Screenshots\screenshot_720x480_244.png truck train 236.2327 132.7033 511.8525 303.8344
245 E:\ODProject\ODProject\Screenshots\screenshot_720x480_245.png truck train 199.1845 97.28473 476.5363 370.1284
